State,Total Students,American Indian or Alaska Native Number,American Indian or Alaska Native Percent,Asian Number,Asian Percent,Hispanic or Latino of any race Number,Hispanic or Latino of any race Percent,Black or African American Number,Black or African American Percent,White Number,White Percent,Native Hawaiian or Other Pacific Islander Number,Native Hawaiian or Other Pacific Islander Percent,Two or more races Number,Two or more races Percent,Students With Disabilities Served Under IDEA Number,Students With Disabilities Served Under IDEA Percent,Students With Disabilities Served Only Under Section 504 Number,Students With Disabilities Served Only Under Section 504 Percent,English Language Learners Number,English Language Learners Percent,Number of Schools,Percent of Schools Reporting
Rhode Island,93,0,0,1,1.1,24,25.8,4,4.3,59,63.4,1,1.1,4,4.3,16,17.2,5,5.4,6,6.5,308,100
South Carolina,413,0,0,0,0,21,5.1,160,38.7,224,54.2,0,0,8,1.9,44,10.7,2,0.5,8,1.9,"1,236",95.6
South Dakota,110,27,24.5,0,0,3,2.7,9,8.2,68,61.8,1,0.9,2,1.8,6,5.5,0,0,1,0.9,688,100
Tennessee,814,1,0.1,3,0.4,29,3.6,145,17.8,621,76.3,0,0,15,1.8,74,9.1,11,1.4,9,1.1,"1,818",97.4
Texas,"1,349",8,0.6,7,0.5,775,57.5,187,13.9,348,25.8,5,0.4,19,1.4,136,10.1,52,3.9,186,13.8,"8,616",100
Utah,972,20,2.1,11,1.1,217,22.3,32,3.3,669,68.8,12,1.2,11,1.1,91,9.4,16,1.6,28,2.9,"1,009",94.8
Vermont,586,3,0.5,3,0.5,3,0.5,18,3.1,547,93.3,1,0.2,11,1.9,88,15,28,4.8,2,0.3,306,100
Virginia,693,2,0.3,5,0.7,109,15.7,270,39,283,40.8,0,0,24,3.5,107,15.4,9,1.3,49,7.1,"1,971",100
Washington,729,11,1.5,14,1.9,165,22.6,32,4.4,443,60.8,7,1,57,7.8,138,18.9,33,4.5,61,8.4,"2,305",100
West Virginia,540,1,0.2,0,0,5,0.9,59,10.9,467,86.5,0,0,8,1.5,56,10.4,2,0.4,1,0.2,720,100
Wisconsin,"1,317",28,2.1,7,0.5,145,11,174,13.2,908,68.9,0,0,55,4.2,230,17.5,8,0.6,59,4.5,"2,232",100
Wyoming,135,0,0,0,0,16,11.9,2,1.5,115,85.2,0,0,2,1.5,6,4.4,0,0,0,0,365,100
